Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
947,Unnati Capital Services Pvt Ltd,263.17,"8,767.57","4,533.48",22551.49,2.8
948,UPMARKET FINANCIAL ADVISORY SERVICES LLP,138.62,"4,828.62",606.91,8731.14,3.73
949,Urjita Financial Services Private Limited,138.83,"3,118.37",-141.09,15592.32,5.16
950,UTI Infrastructure Technology And Services Ltd,578.2,"22,263.05","9,153.22",54113.42,2.72
951,Utkarsh Wealth Advisors,224.91,"95,198.48",-606.85,34004.55,0.28
952,UVA WEALTH MANAGERS PRIVATE LIMITED,30.99,"6,101.21",999.89,11000.84,2.84
953,V Serve Management Private Limited,120.23,"9,824.87","-3,116.85",21727.83,2.03
954,VA Inc,111.72,"30,452.05","2,738.86",17206.49,0.59
955,Valsangkar Ravindra Murlidhar,183.97,"11,417.42",118.9,6923.64,0.61
956,Value Ethics Wealth Managers Pvt Ltd,218.53,"11,327.75","1,377.91",24822.80,2.31
957,Value Invest Wealth Management (India) Pvt. Ltd.,262.47,"22,888.63","-3,769.49",46015.43,2
958,VARDHANA FINANCIAL SOLUTIONS PRIVATE LIMITED,114.9,"12,561.50",358.89,14926.37,1.28
959,Varsha Investments,192.98,"7,978.98",577.44,25485.48,3.07
960,Varughese Mathai.K,142.57,"5,042.47","3,161.19",13760.06,3.09
961,Vatsal Pravin Shah,134.37,"18,668.02","3,975.47",17128.50,1.08
962,Vcare Investment Services Pvt. Ltd.,531.62,"22,548.04","4,215.41",43400.01,2.02
963,Vedansh Securities,162.35,"12,302.18","-11,246.30",17821.69,0.95
964,Veena Chandra,177.49,"4,887.97",-704.31,18869.41,3.88
965,Veena Gupta,50.39,"1,523.30",614.03,3809.01,2.72
966,Venkatesh Share & Stock Brokers Pvt. Ltd.,86.38,"17,914.20","-1,095.00",11451.68,0.61
967,Ventura Securities Ltd,631.69,"66,636.32","12,686.27","           1,04,931.43 ",1.77
968,Verdant Financial Advisory Services Private Limited,294.86,"25,245.13","-9,171.84",40545.51,1.5
969,Verity Finsolutions Pvt. Ltd,194.28,"18,796.70","2,611.02",21887.30,1.31
970,VETE ASSOCIATES Tax & Investments Consultants Pvt Ltd,346.46,"17,738.18","7,692.71",27880.38,1.78
971,Vijay Financial Consultants Pvt Ltd,211.42,"5,473.67","2,627.95",21967.40,4.22
972,Vikash Toshniwal,83.79,"3,366.24",-431.36,4395.90,1.35
973,Vikram S.Bagadthey,110.05,"11,061.88","1,207.16",10132.27,1.02
974,Vinay O Rathi,165.61,"12,265.75",-578.01,16456.50,1.25
975,Vinayak Dattatreya Joshi,113.05,"1,544.89",-398.02,13425.33,8.69
976,Vinit Chandulal Vasa,189.27,"12,062.51","5,562.39",20721.54,1.9
977,Vinod Kumar Anand,98.89,"2,891.37",633.41,9729.76,3.64
978,Vinod S Singh,85.26,"6,329.14",606.1,10889.10,1.73
979,VINTRUST WEALTH MANAGERS LLP,126.81,"9,512.75","5,360.75",11364.30,1.4
980,Viral Kishorbhai Shah,116.66,"21,321.09","7,143.43",9818.83,0.67
981,Viral R Kothari,131.4,"4,692.03","1,879.86",15418.58,3.55
982,Virendrakumar Rajnikant Modi,93.48,"5,553.50","1,414.34",9860.87,1.97
983,Vishal Bharat Modi,217.65,"8,370.00","3,465.96",14558.88,2
984,Vishal Kumar Narang,101.76,"3,789.13",122.22,9300.19,2.52
985,Vishvambhar C S Kenkare,97.44,"1,953.85",617.37,9936.26,5.38
986,Vision Ahead Services (Pvt) Ltd,150.36,"16,859.78","-5,806.03",15130.61,0.66
987,Vista Wealth Consultants Private Limited,531.45,"19,911.76","7,568.73",57270.69,3.11
988,Vithadwaitha Investment Consultants Pvt Ltd,92.41,"3,260.11","1,298.47",10269.70,3.48
989,Vivek Kumar,61.7,992.73,66.03,7010.19,6.83
990,Vivek Mahajan,210.06,"8,932.04","2,023.81",16112.47,2.01
991,VJB Financial Services Pvt Ltd,150.6,"37,373.14",-521.19,20440.00,0.53
992,Vogue Management Services Private Limited,63.29,"3,924.51",271.03,9555.03,2.93
993,VR Wealth Advisors Pvt Ltd,85.46,"4,912.83",-45.45,13901.46,3.03
994,VRISHANK ADVISORY SERVICES PRIVATE LIMITED,110.96,"6,355.55","3,647.47",7064.82,1.37
995,VSRK WEALTH CREATOR PVT LTD,"1,004.63","18,818.45","-5,085.68",91874.33,5.02
996,VUK Finvest Consultants Pvt Ltd,192.59,"14,078.42",-61.46,24937.13,1.67
997,WADHAWAN WEALTH MANAGERS PRIVATE LIMITED,44.54,"72,952.63","22,136.16",37031.24,1.31
998,Walter Cyril Pinto,50.13,"1,405.81",378.43,5252.91,3.92
999,Way2Wealth Securities Private Limited,665.79,"            1,13,038.66","1,949.37","           1,00,219.24 ",0.83
1000,Wealth Creators,109.79,"2,750.87","1,768.93",11848.10,4.72
1001,WEALTH EXPRESS,101,"21,222.73","1,034.01",9745.66,0.48
1002,Wealth First Advisors Pvt Ltd,718.24,"50,435.30",766.03,77770.83,1.56
1003,Wealth First Port Folio Managers Ltd,"1,161.32","            2,73,817.40","18,561.30","           1,26,041.31 ",0.57
1004,Wealth India Financial Services Pvt Ltd,"4,581.60","            2,54,376.41","66,700.11","           5,43,958.04 ",2.36
1005,Wealth Lab Private Limited,135.05,"7,636.76","1,443.17",18431.08,2.49
1006,WEALTH MANAGEMENT,107.9,"4,156.05","1,662.55",11440.40,3.07
1007,Wealth Managers (India) Private Limited,"1,734.77","            6,38,904.55","37,306.53","           3,94,765.13 ",0.67
1008,Wealth Managers United India Private Limited,606.05,"23,176.06","9,023.11",66364.28,3.44
1009,WEALTHAPP SOLUTION PRIVATE LIMITED,165.67,"11,812.76","1,981.65",16065.31,1.5
1010,Wealthcare Investment Services,143.44,"3,348.83",945.89,14128.61,4.52
1011,Wealthcare Securities Private Limited,208.65,"9,126.50","1,804.06",21791.56,2.47
1012,Wealthcube Endeavours LLP,305.75,"25,072.26","6,373.85",21159.08,0.96
1013,WealthDirect Portfolio Pvt Ltd,113.44,"5,732.86","2,658.01",13338.79,2.54
1014,Wealthpoint Financial Resources Pvt Ltd,100.95,"9,094.31","3,118.82",11344.75,1.45
1015,WEALTHWISE ADVISORS,167.95,"18,117.50","-7,312.80",16348.96,0.03
1016,Wholelife Financial Services (Hyderabad) Pvt. Ltd.,104.36,"3,263.98","1,158.34",12471.17,4.05
1017,WISE FINSERV PVT. LTD,190.86,"8,618.99","4,316.11",14418.56,1.96
1018,Wiseinvest Advisors Pvt. Ltd.,741.55,"43,301.50","2,422.30",89123.42,2.12
1019,WMG Advisory & Services Pvt Ltd,246.96,"71,982.25","7,112.40",32017.68,0.47
1020,Y S CAPITAL.,283.13,"9,282.54","2,230.72",29112.37,4.07
1021,Y. Sridhar,95.84,"2,628.96",735.19,8732.14,3.6
1022,Yajendra Chinnaya Shetty,95.4,"3,812.64","3,447.93",9918.26,2.86
1023,Yash Consultants,213.13,"1,059.71","-3,932.52",29248.49,27.24
1024,Yashwant Amarsingh Rathod,170.7,"3,720.49","1,900.43",16512.50,4.52
1025,Yatish Wealth Managers,116.83,"15,862.97","2,894.47",15896.03,1.12
1026,Yes Bank Limited,"2,567.50","            2,78,344.59","7,567.27","           3,27,860.53 ",1.14
1027,Yes Investments,105.25,"1,362.46",492.11,5790.02,4.48
1028,Yeshwanth Kumar,246.22,"6,144.67","-8,113.62",18960.63,1.99
1029,Yezdi Framroz Langrana,210.27,"4,626.47","1,141.55",25130.37,5.54
1030,Yogendra Dilipbhai Doshi,130.94,"5,439.10","1,365.43",15492.09,3.05
1031,Yogesh Jayant Shah,193.15,"26,691.81","2,735.39",33712.08,1.3
1032,Zeenat S Jagani,335.47,"8,914.09","2,702.51",34320.13,4.02
1033,Zen Securities Limited,313.37,"21,314.44",411.84,65071.98,3.08
1034,Zerodha,82.34,"30,337.41","-1,505.53",11151.09,0.34
1035,Zeus Investment Solutions,211.15,"16,956.98","4,440.21",19481.22,1.24
1036,ZUARI FINSERV LIMITED,82.26,"88,757.04",457.2,15587.63,0.17
1037,ZVEST FINANCIAL SERVICES LLP,180.77,"17,664.75","5,796.74",20990.26,1.5
,,,,,,
